Designation,Company Name,Salary,Experience,Location,Role,Skills,Qualification,Industry Type,Functional Area,Employment Type,Role Category,Address,Post By,Post Date,Website,Url,About Company,Job Description
Software Data Engineer (Python-Pyspark),LexisNexis4.3(75 Reviews),"₹ 10,00,000 - 20,00,000 P.A. ",4 - 7 years,"Chennai,Mumbai (All Areas)","Software Development - Other,","Pysparl,python","['UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization']","Pharmaceutical & Life Sciences,","Engineering - Software & QA,","Full Time, Permanent",Software Development,https://risk.lexisnexis.com/group,SudhaCompany Recruiter at REED ELSEVIER INDIA (a part of RELX India Pvt Ltd), 4 days ago,https://www.naukri.com/reed-elsevier-jobs-careers-2708390?src=jddesktop,https://www.naukri.com/reed-elsevier-jobs-careers-2708390?src=jddesktop," LexisNexis Risk Solutions Group (RSG), a portfolio of brands that span multiple industries providing customers with innovative technologies, information-based analytics and decision tools and data services that provide market-specific solutions. Approximately 8,700 employees in offices throughout the world support RSG brands by serving customers in more than 180 countries. RSG is part of RELX, a global provider of information and analytics for professional and business customers across industries. For more information ","Job description Dear Candidate,Greetings!!! from Lexis Nexis Risk SolutionsWe are hiring for Software Data Engineer (Python-Pyspark) role with LexisNexis Risk Solutions for Mumbai and Chennai LocationThis position performs moderately difficult research, design, and software development assignments within a specific software functional area or product line. The position should have the ability to work on individual pieces of work and solve problems including the design of the program flow of individual pieces of code, effective coding, and unit testing.  QUALIFICATIONS:Min 4 to Max 8 years of Software Engineering experience.BS Engineering/Computer Science or equivalent experience requiredTECHNICAL SKILLS:Worked on at minimum 1 DW tool with good exposure to ETL process. Proficiency with data manipulation languages.Ability to work with complex data models.Excellent data profiling, data quality, ER diagram concepts.Proficiency in development languages including but not limited to: Python Or PySpark, ECL.Familiarity of industry best practices  code coverage.Ability to work well with internal and external technology resources.Ability to write and review portions of detailed specifications for the development of system components of moderate complexity.Knowledge of software development methodologies (e.g., Agile, Waterfall).Knowledge of data storage subsystems.Knowledge of test-driven development.Ability to handle moderate to complex bug fixes.Good oral and written communications skills.ACCOUNTABILITIES:Initial Training- Team member joining will be provided initial training - functional and any new required tech both. Post 4 months he/she has to be independent. Post 4 month team member will be accountable for below pointsRequirement Gathering - Interface with other technical, Business team personnel or team members to finalize requirements.Development using Python on Azure Cloud and additional language - HPCC ECL along side - SQL, Unix and other tech stack used.Write and review portions of detailed specifications for the development of system components of moderate complexity.Work closely with other development team members to understand moderately complex product requirements and translate them into software designs.Successfully implement development processes, coding best practices, and code reviews.Operate in various environments (Agile, Waterfall, etc.) while collaborating with key stakeholders.Resolve technical issues as necessary.PROD monitoring for the release where involved.There will be requirement to work late hours for initial 6 months or lesser.Keep abreast of new technology developments.Complete bug fixes.All other basic day in day out duties as assigned If interested please share your updated profile to sudha.natarajan@lexisnexis.com /suman.rajendra@lexisnexis.com.RegardsSudhaRoleSoftware Development - Other,Industry TypePharmaceutical & Life Sciences,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any SpecializationKey SkillsPysparlpython"

Python Software Developer,Recruitzilla,"₹ 35,00,000 - 40,00,000 P.A. ",8 - 12 years,Bangalore/Bengaluru( Indira Nagar ),"IT & Information Security - Other,","Python,Django,Flask",['UG :Any Graduate'],"Engineering & Construction,","IT & Information Security,","Full Time, Permanent",IT & Information Security - Other,"401, Indiranagar, Bangalore Recruiting Resourcer 
hire@recruitzilla.in
Ph No: +91 9074755122",NA, 13 days ago,https://www.naukri.com/think-solar-energy-solutions-jobs-careers-6934357?src=jddesktop,https://www.naukri.com/think-solar-energy-solutions-jobs-careers-6934357?src=jddesktop,"At Recruitzilla, we have mandated a culture of growth this means that not only will the company grow, but it will grow through the growth of our employees. The personal development and career trajectory of our employees is a core value and focus which we know will ultimately grow our organization. This means we will never be satisfied with the status quo. We endeavour to improve every day, to take innovative risks and encourage behaviour that represents that value well.","Job descriptionJob Description We are looking for a Software Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well. Responsibilities - Writing reusable, testable, and efficient code - Design and implementation of low-latency, high-availability, and performant applications - Integration of user-facing elements developed by front-end developers with server side logic - Implementation of security and data protection - Knowledge of JavaScript, Python, MySQL ,Selenium WebDriver, Github, Mongo DB, React.js, Express.js, Web Development, Node js,- Integration of data storage solutions (may include databases, key-value stores, blob stores, etc) - (Add other responsibilities here that are relevant) Skills And Qualifications - Expert in Python, with knowledge of at least one Python web framework (such as Django, Flask, etc depending on your technology stack) - Familiarity with some ORM (Object Relational Mapper) libraries - Able to integrate multiple data sources and databases into one system - Understanding of the threading limitations of Python, and multi-process architecture - Good understanding of server-side templating languages (such as Jinja 2, Mako, etc depending on your technology stack) - Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 - Understanding of accessibility and security compliance (depending on the specific project) - Knowledge of user authentication and authorisation between multiple systems, servers, and environments - Understanding of fundamental design principles behind a scalable application - Familiarity with event-driven programming in Python - Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimising output to match the specific platform - Able to create database schemas that represent and support business processes - Strong unit test and debugging skills - Proficient understanding of code versioning tools (such as Git, Mercurial or SVN) - (Make sure to mention other frameworks, libraries, or any other technology related to your development stack) - (List education level or certification you require)RoleIT & Information Security - Other,Industry TypeEngineering & Construction,Functional AreaIT & Information Security,Employment TypeFull Time, PermanentRole CategoryIT & Information Security - OtherEducationUG :Any GraduateKey SkillsPythonDjangoFlaskSkills highlighted with ‘‘ are preferred keyskills"

Senior Software Engineer - Python Data Engineer/Scientist,Deutsche Bank4.3(2122 Reviews),Not Disclosed,3 - 8 years,Pune,"Database Architect / Designer,","GIT,Trade finance,Machine learning,Data collection,Cash management,Scientist II,Troubleshooting,SDLC,Python,SQL","['UG :Any Graduate', 'PG :Any Postgraduate']","Banking,","Engineering - Software & QA,","Full Time, Permanent",DBA / Data warehousing,https://db.wd3.myworkdayjobs.com/en-US/DBWebsite/job/Pune---Margarpatta/Senior-Software-Engineer--Python-Data-Engineer-Scientist_R0194090,NA, 30+ days ago,https://www.naukri.com/dboi-global-services-jobs-careers-1081770?src=jddesktop,https://www.naukri.com/dboi-global-services-jobs-careers-1081770?src=jddesktop,Deutsche Bank,"Job description   Your Role   -   What You ll Do      The Lead Software Development Engineer will help direct and participate in the day-to-day operations of a team of software developers.    The incumbent will lead by example to ensure business and product objectives are met will providing administrative, technical and people leadership for multiple, diverse and sometimes geographically distributed teams.   The Lead Software Development Engineer is expected to develop code to meet business and technical requirements as well as providing coaching and guidance to the team to enable future success.     Responsibilities  :    Participate & provide technical leadership to global spread team(s)   Collaborating with engineering and development teams to evaluate and identify optimal cloud solutions.   Participate and contribute to code review, design sessions with other team members   Continually help to improve the performance of the team regarding SDLC, QA, CICD and post release activities.   Act as an expert on the platform in various capacities, strategy meetings, and product development opportunities   Educating teams on the implementation of new cloud technologies and initiatives.   Gathering, cleaning, and processing raw data   Designing predictive models and machine learning algorithms to mine big data sets   Developing tools and processes to monitor and analyze data accuracy   Building data visualization tools, dashboards, and reports   Writing programs to automate data collection and processing   Identifying, analyzing, and resolving infrastructure vulnerabilities and application deployment issues.   Provide SL3 (Service Level 3) support for the application and production stability     Experience/Skills You ll Need:     8+ years of software development   hands-on   experience   Hands on experience in Python for 3+ years   3+ years of experience in Apache Spark, Hive/Impala/Kafka etc.   Working knowledge of Spark RDD, Data Frame API, Data set API, Data Source API & Spark SQL   Working knowledge of developing Python consumers & producers using Kafka-Python client   Highly Desirable - Experience in REST services and Big Data technologies such as Oozie, Sqoop, and other bigdata ETL tools    Troubleshooting and analytical skills.    Working knowledge of GIT, Jenkins, CICD, Gradle, DevOps and SRE techniques    Good Knowledge of Microservices Architecture, Kubernetes, Docker, Cloud Native application, Grafana, Open-API, Rest Services & Google/ anyother Cloud Platform   RoleDatabase Architect / Designer,Industry TypeBanking,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :Any GraduatePG :Any PostgraduateKey SkillsGITTrade financeMachine learningData collectionCash managementScientist IITroubleshootingSDLCPythonSQL"

Software Test Engineer || Python Automation + Ansible || Ness Digital,Ness Digital Engineering   3.9(29 Reviews),Not Disclosed,3 - 8 years,Pune,"Automation Developer,","Automation,Ansible,Python,linux system administration",['UG :Any Graduate'],"Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,https://www.ness.com/,Vipasha SoniHR-Talent Acquisition at Ness Digital Engineering, 13 days ago,https://www.naukri.com/niyuj-enterprise-solutions-jobs-careers-4775500?src=jddesktop,https://www.naukri.com/niyuj-enterprise-solutions-jobs-careers-4775500?src=jddesktop,https://www.ness.com/,"Job description Hi,Greetings from Ness Digital Engineering!!We are hiring for Python Automation Test Engineer.Remuneration: No bar for the right candidateLocation: Pune (WFH option till the pandemic is completely over)PositionSoftware Development Engineer in Test (Python) BVExperience (years)4+ yearsMust Have:4+ years of strong Python programming experiencePython programming, Pytest FrameworkExperience with Shell scripting, Selenium WebDriver, AnsibleStrong Linux system administration skillsGood knowledge of DockersShould be able to quickly analyze failures and trace back to issues in the product or the automation suiteExpert at test automation, creating test plans, test strategies for testing multiple product modulesGood to have:BitBucket, Jenkins, GIT, JIRAFamiliarity with Test Management systems.Demonstrate a desire to continually learn and hone skillsExperienced in working with Agile methodologiesParticipate in test cases, test plan, code reviews and bug tracking.Must be able to self-manage while taking responsibility of tasks and timeSelf-motivated and be able to work in a fast-paced environment and learn new things quickly RoleAutomation Developer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduateKey SkillsAutomationAnsiblePythonlinux system administrationSkills highlighted with ‘‘ are preferred keyskills"

Python Developer,HR Remedy India,Not Disclosed,4 - 6 years,Pune,"Full Stack Developer,","Python,Communication skills,leadership,ADAS","['UG :B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Automobile,","Engineering - Software & QA,","Full Time, Permanent",Software Development,.,NA, 5 days ago,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,Leading Client,"Job descriptionMandatory skills - Architect experiencePython development experienceTeam leadership experience Good communication and collaboration skillsNice to have –Automotive domain experienceADAS experienceRole and responsibilities –1. Handling a tool development in Python2. Co-ordination with the customers for their requirements3. Presenting new features to the users4. Come up with new ideas to improvise the tool5. Handling the team administratively RoleFull Stack Developer,Industry TypeAutomobile,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsPythonCommunication skillsleadershipADASSkills highlighted with ‘‘ are preferred keyskills"

Python developer,MediaTek Inc3.9(36 Reviews),Not Disclosed,2 - 7 years,Bangalore/Bengaluru,"Full Stack Developer,","continuous integration,C++,GIT,Linux,Coding,Shell scripting,Test planning,Windows,Python","['UG :Any Graduate', 'PG :Any Postgraduate']","Recruitment / Staffing,","Engineering - Software & QA,","Full Time, Permanent",Software Development,https://careers.mediatek.com/eREC/JobSearch/JobDetail/MTB120220609002?langKey=en-US,NA, 6 days ago,https://www.naukri.com/mediatek-india-technology-jobs-careers-1840470?src=jddesktop,https://www.naukri.com/mediatek-india-technology-jobs-careers-1840470?src=jddesktop,MediaTek Inc,"Job description  Develop test infrastructure around gdb DejaGnu test framework using python and TCL    Develop test plan and implement gdb tests    Automate testing through integration with Jenkins-based Continuous Integration flow    Contribute to debugger development using Python and C++    Collaborate with global teams to resolve issues and release new software.      REQUIRED QUALIFICATIONS:     • Proficiency in Python and experience in C++     • Background in testing and test automation for command line tools     • Master Degree in Computer Science, Computer Engineering or related field and 2+ years of professional experience      HELPFUL KNOWLEDGE/SKILLS:     • Working knowledge of gdb, DejaGnu and TCL/expect is a big plus     • Experience in git, shell scripting, pytest, Google Test     • Experience working with Jenkins continuous integration framework     • Linux, Windows and Mac software development     • Experience in working with HW Evaluation Boards (EVBs)     • Excellent problem solving, design, coding skills and software development process knowledge   RoleFull Stack Developer,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey Skillscontinuous integrationC++GITLinuxCodingShell scriptingTest planningWindowsPython"

Python-Full Stack Developer,Shashwath Solution,Not Disclosed,7 - 12 years,Bangalore/Bengaluru,"Full Stack Developer,","Python,Angular 2+,CSS,ES6,HTML,Software Development Life Cycles,Type Script,bootstrap,Postgres SQL,DevOps,Java Script,MySQL,MongoDB","['UG :B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,.,NA, 13 days ago,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,"We are a young, dynamic IT solutions and umbrella services company. System Audit is our thrust area and we have expanded our sphere to include various aspects of the same in our business endeavor. Founded on a vast IT experience, Shashwat is a technically sound and professionally reliable company with long term business relations as its singular objective. Our key differentiation in Audit space is our sound technological knowledge which helps us go beyond merely identifying and pinpointing the discrepancies. We give solutions In a short span of time since inception, we have earned the trust of customers across Maharashtra and our customers include business enterprises, educational institutes, banks and IT companies of repute.","Job descriptionJob Requirements:1. Minimum 7 years’ experience in Full Stack development.2. Highly skilled in Python Django framework for back-end development.3. Experience in Java Script, Angular 2+, HTML, CSS, ES6, Type Script, bootstrap, responsive web design – the frontend stack.4. Experience in working with databases like MySQL, Postgres SQL, MongoDB, etch is a must.5. Familiar with REST API pattern and implementation.6. Familiar with unit testing and must have knowledge of testing methodologies and software for quality control.7. Flexible to learn new technology, doing research and bringing new technology and solution on board.8. Familiar with Software Development Life Cycles and adhere to implement the same.9. Must have experience in working with revision control software such as Git.10. Good to have cloud exposure and DevOps experience.11. Must have excellent communication skills in English.12. Must demonstrate strong leadership skills and quick decision making.13. Willing to travel to UAE for project requirements.RoleFull Stack Developer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsPythonAngular 2+CSSES6HTMLSoftware Development Life CyclesType ScriptbootstrapPostgres SQLDevOpsJava ScriptMySQLMongoDBSkills highlighted with ‘‘ are preferred keyskills"

Python Developer,Titan Consultancy,Not Disclosed,3 - 5 years,Ahmedabad,"Software Development - Other,","Front end,HP data protector,Django,Analytical,Debugging,Javascript,HTML,SQL,Python,CSS3","['UG :Any Graduate', 'PG :Any Postgraduate']","Recruitment / Staffing,","Engineering - Software & QA,","Full Time, Permanent",Software Development,http://www.titans.co.in/job-openings-for-python-developer-ahmedabad-1086049.htm,NA, 10 days ago,https://www.naukri.com/titan-consultancy-jobs-careers-2903038?src=jddesktop,https://www.naukri.com/titan-consultancy-jobs-careers-2903038?src=jddesktop,Titan Consultancy,"Job description   Skills And Qualifications:   3-5 years of experience as a Python developer.  Expert in Django framework, with knowledge of at least one additional Python web framework Flask or FastAPI.  Understanding of databases, SQL and non-relational plus the Django ORM.  Familiarity with best practices and design patterns of programming languages.  Experience in developing microservices architecture.  Familiarity with event-driven programming in Python.  Understanding of accessibility and security compliance  Strong analytical ability, logical thinking and problem-solving approach on complex issues  Understanding of parallelism and concurrency concepts and its application in Python/Django applications.  Understanding of fundamental design principles behind a scalable application.  Strong unit test and debugging skills  Basic understanding of front-end technologies, such as ReactJs, VueJs, Vanilla JavaScript, HTML5, and CSS3  Proficient understanding of code versioning tools.    Principal Responsibilities:   Writing reusable, testable, and efficient code.  Design and implementation of low-latency, high-availability, and performance applications using Django framework in Python.  Create and use the REST APIs for communicating with other apps.  Implementation of security and data protection algorithms.  Integration of data storage solutions like databases, key-value stores, blob stores, S3 etc.  Improve the functionality of existing systems and applications.  RoleSoftware Development - Other,Industry TypeRecruitment / Staffing,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsFront endHP data protectorDjangoAnalyticalDebuggingJavascriptHTMLSQLPythonCSS3"

Automation Testing Lead / Manager - Java / Python / Selenium,Axtria India Pvt. Ltd.3.6(202 Reviews),Not Disclosed,8 - 10 years,"Noida,Hyderabad/Secunderabad,Pune,Gurgaon/Gurugram,Bangalore/Bengaluru","QA Team Manager,","Automation Testing,Java,Regression Testing,TDD,Software Quality Assurance,TestNG,Selenium,Python","['UG :B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Automobile,","Engineering - Software & QA,","Full Time, Permanent",Quality Assurance and Testing,.,NA, 7 days ago,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,Axtria is a global provider of cloud software and data analytics to the Life Sciences industry. We help Life Sciences companies transform the product commercialization journey to drive sales growth and improve healthcare outcomes for patients. We are acutely aware that our work impacts millions of patients and lead passionately to improve their lives.,"Job descriptionRole & Responsibilities :- Involve in creating automation framework using Selenium + Python Java and TestNG.- Develop test automation approach applying modern test automation techniques- Schedule automation regression to run on regular interval.- Identify and raise defect identified through automation test execution.- Troubleshoot issues in automation scripts found during testing.- Regular update automation test suite.- Understand test case prioritization.- Assess and raise riskissues in testing.- Timely report testing status with different stakeholders.Required Experience :- 8+ years of extensive experience in Automation using Selenium + JavaPython.- Extensive experience in WebDriver & TestNG.- Solid knowledge and good hands - on SQL and scripting language.- Experience working in an AgileScrum Team.- Additional Skills - BDD, TDD, CICD- Jenkins- Experience in working on AWS & SFDC platform is preferred.- Experience in other commercial operations processes like alignment, call planning, field reporting will be added advantage.- Expertise in Excel and VBA.- Excellent in communication.- Self-starter, ability to work with minimal supervision, pick up new solutions quickly & ability to work under pressure.- Energetic and ability to contribute to organization beyond assigned work.Qualification : B-TechBE PostgraduateBehavioural Competency :- Excellent communication skills (must be able to interface with team in India and US)- Strong analytical skills to solve and model complex business requirements are a plus.Desirable qualities :- Problem Solving - Uses rigorous logic and methods to solve difficult problems with effective solutions. Probes all fruitful sources for answers. Is excellent at honest analysis. Looks beyond the obvious and doesn't stop at the first answers.- Learning on the Fly - Learns quickly when facing new problems. A relentless and versatile learner.- Drive for result - Able to set priorities; pursue tasks tenaciously & with a need to finish. Able to overcome setbacks which may occur along the way.RoleQA Team Manager,Industry TypeAutomobile,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategoryQuality Assurance and TestingEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsAutomation TestingJavaRegression TestingTDDSoftware Quality AssuranceTestNGSeleniumPythonSkills highlighted with ‘‘ are preferred keyskills"

Hiring Data Engineers - Python,Providence Global Center 4.1(15 Reviews),"₹ 12,00,000 - 22,00,000 P.A. ",4 - 9 years,Hyderabad/Secunderabad,"Data Engineer,","Azure Data Factory,Pyspark,Pandas,Python Development,data engineering,data processing,Azure Databricks,Python",['UG :Any Graduate'],"Medical Services / Hospital,","Data Science & Analytics,","Full Time, Permanent",Data Science & Machine Learning,"2nd Floor, Skyview 10,  Sy No. 83/1, The Skyview, Hyderabad, Telangana, India",EstherCompany Recruiter at PROVIDENCE GLOBAL CENTER LLP, 5 days ago,https://www.naukri.com/providence-global-center-jobs-careers-5209620?src=jddesktop,https://www.naukri.com/providence-global-center-jobs-careers-5209620?src=jddesktop,"At Providence, we are grounded in our goal to serve all as we engineer the future of healthcare. We build the tech to enable our caregivers deliver better healthcare outcomes and enhanced continuity of care. We focus on engineering, modern infrastructure, data intelligence, cloud, digital innovation, professional services, cyber security and application development & support. Providence Global Innovation Center (GIC) will help achieve our vision of health for a better world and be at the forefront of innovation in the healthcare industry. ","Job description Greetings !!Hiring Data Engineers with Handson experience with PythonRole type : FulltimeLocation : HyderabadWebsite : https://www.providence.in/LinkedIn Page : https://www.linkedin.com/company/providencehealthsystem/Kindly revert with your updated resume to esther.rani@providence.org for the next steps What will you be responsible for?A Data Engineer in Population Health Informatics group will have the following responsibilities:Analyze large amount of raw information to find patterns, undertake preprocessing of structured and unstructured data.Work with healthcare claims, Electronic Medical Record (EMR), vendor and other healthcare data.Lead the development of Python programs that will be used to support population health risk arrangements and government programs.Develop the Python data cleanup program and data processing methods for ingesting, processing, storing and reporting with healthcare claims from payers, Electronic Medical Record, vendor, and other healthcare dataWork with Data engineers and participate with the regression (linear/logistic/regularized) for Web Analytics Machine Learning in Azure Cloud, time series forecasting, NLP and more languages needed to support Population Health eligibility and claims processing in cloud.Build Cloud Azure data pipeline and establish data processing standards for the Pop Health Informatics team.Help our team build predictive models and experimental design to support Population Health Initiatives.Help in designing machine learning solutions, testing and roll-out projects in an Azure cloud environment.Work with speed in an Agile framework.Identify improvements, develop and design tools that will streamline the service to improve end-user experiences and lower operating costs.Partner with Global Engineering teams on shared goals and focus on the outcomes with a collaborative mindset.Who are we looking for?4 - 7 years of experience in Data EngineeringStrong Knowledge of Python object-oriented programming, Python design patterns, python packages, PySpark, SQL, Linux, and Shell scripting3+ years strong experience querying large datasets using SQL, Python and/or scala Python, Jupyter Notebook, NumPy, Pandas, Dask, Matplotlib/Seaborn, Apache SparkWorking experience on Azure Databricks and Azure SynapseStrong knowledge of Azure platform (Implementing storage solution, implementing data processing solutions and monitoring/optimizing data processing solutions)Experience implementing machine learning to solve problems (unsupervised learning, supervised learning, clustering algorithms, data warehousing, etc.)Exposure to Snowflake Cloud data PlatformAutomate and maintain data processing pipelines in Azure CloudExperience working with large datasets and building data processing platformsExposure to ETL tools like InformaticaGood to have: Experience working with healthcare claims and/or Electronic Medical Record billing dataExcellent interpersonal, verbal and written communication skills.Excellent analytical and critical thinking capabilities, problem-solving skillsBS or MS in Computer Science or equivalentRoleData Engineer,Industry TypeMedical Services / Hospital,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduateKey SkillsAzure Data FactoryPysparkPandasPython Developmentdata engineeringdata processingAzure DatabricksPythonSkills highlighted with ‘‘ are preferred keyskills"

Senior Python Developer,Mtalkz Mobility Services Private Limited4.7(14 Reviews),"₹ 6,00,000 - 16,00,000 P.A. ",5 - 10 years,"Noida,Ghaziabad,Delhi / NCR","Back End Developer,","python,Github,GIT,algorithms,pytest,Postgresql,Serverless Architecture,Microservices,NoSQL,Django,FastAPI,mongodb,Gitlab,Monolithic Architecture,Flask","['UG :BCA in Computers, B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical, Diploma in Computers', 'PG :M.Tech in Electronics/Telecommunication, Computers, Electrical, MCA in Computers']","Software Product,","Engineering - Software & QA,","Full Time, Permanent",Software Development,https://mtalkz.com/,MehakCompany Recruiter at Mtalkz Mobility Services Private Limited, 14 days ago,https://www.naukri.com/mtalkz-mobility-services-jobs-careers-6682625?src=jddesktop,https://www.naukri.com/mtalkz-mobility-services-jobs-careers-6682625?src=jddesktop,"Mtalkz is a fast-growing and well-established technology-based communication platform, providing products and services to global markets. We are a Cloud based SAAS provider for Bulk Sms, Voice SMS, Email marketing, IVR Systems, Missed Call, Whatsapp Business API, Chatbots and Marketing Automation.  Subscribe our services to engage your customers like never before.We are a communication platform provider that provides messaging gateways to large corporates, enterprises, fintech and startups. Our solutions are backed by enterprise-class platforms, supporting a high level of availability and throughput. Powering business communications for the future, we provide our services to enrich user experiences.We work to obtain brilliant results with accurate reporting, efficient delivery, precise targeting, and intelligent integrations. We converge on giving our customers an all-embracing platform with programmable APIs that make integration easy while helping you approach and manage.","Job descriptionJob Requirements And Responsibilities:- Must be in practice of writing Test-driven Development process- Experience with writing Blocking and Non-Blocking APIs which can be easily scalable- Have excellent knowledge on data structures and algorithms to tackle complex data- Have worked on various python frameworks Django / PyTest / Flask / FastAPI etc- Must be working on NoSQL databases like MongoDB, Postgres etc in current project.- Identify, troubleshoot, and document python application availability issues and standards.- Experience using Version Control (GitHub/Gitlab).- Passionate about code quality, extensibility, and simple architecture design and in practice of doing peer code review- Must be comfortable working in an open, highly collaborative team environment- Experience in handling large quantities of structured data, interchanging between JSON and Dictionaries- Experience with consuming third party APIs in synchronous and asynchronous manner using HTTP and socketsKey Skills Required:- Python- API Development & Deployment and Integration- SQL & NoSQL databases- Github / Gitlab- CI/CD Pipelines- Server and Serverless architecture- Monitoring & TroubleshootingGood To Have:  - Knowledge on container tools such as Dockers, AKS and Analytic services - Building CI/CD pipelines, automation scripts in Azure cloud- Experience with Celery / Kafka / RabbitMQ- Experience in Microservices Architecture RoleBack End Developer,Industry TypeSoftware Product,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :BCA in Computers, B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical, Diploma in ComputersPG :M.Tech in Electronics/Telecommunication, Computers, Electrical, MCA in ComputersKey SkillspythonGithubGITalgorithmspytestPostgresqlServerless ArchitectureMicroservicesNoSQLDjangoFastAPImongodbGitlabMonolithic ArchitectureFlaskSkills highlighted with ‘‘ are preferred keyskills"

Software Architect (Python),HR Remedy India,Not Disclosed,4 - 9 years,Pune,"Technical Architect,","Python,leadership,ADAS,communication skills","['UG :B.Tech/B.E. in Any Specialization', 'PG :Any Postgraduate', 'Doctorate :Doctorate Not Required']","Automobile,","Engineering - Software & QA,","Full Time, Permanent",Software Development,.,NA, 6 days ago,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,https://www.naukri.com/premium-jobs-careers-852658?src=jddesktop,Leading Client,"Job descriptionMandatory skills - Architect experiencePython development experienceTeam leadership experience Good communication and collaboration skillsNice to have –Automotive domain experienceADAS experienceRole and responsibilities –1. Handling a tool development in Python2. Co-ordination with the customers for their requirements3. Presenting new features to the users4. Come up with new ideas to improvise the tool5. Handling the team administratively RoleTechnical Architect,Industry TypeAutomobile,Functional AreaEngineering - Software & QA,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not RequiredKey SkillsPythonleadershipADAScommunication skillsSkills highlighted with ‘‘ are preferred keyskills"

