Designation,Company Name,Location,Post Date,Job Type,Employees,Job Description,URL,Post By,Post Designation,Industry 
Infrastructure Developer,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",2 weeks ago,Full-time,"10,001+ employees · Financial Services","As a member of our Infrastructure Development team, you'll dive right into creating innovative solutions that advance businesses and careers. You'll join an inspiring and curious team of technologists dedicated to developing and deploying large-scale infrastructure solutions that support JPMorgan Chase & Co.'s diverse and critical businesses. You'll be using the latest technologies, data management, and security practices in all aspect of software development. Critical thinking, clear communication, and collaboration are key to successful product delivery.

This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience
Software development experience in one or more general-purpose programming languages: Python, Java, C, C++, Go
Experience working with two or more from the following: web application development, database, unix/linux environments, distributed and parallel systems, information retrieval, networking, large scale software development, security software development
Understanding or have experience with Agile and Lean philosophies
Strong critical-thinking and problem-solving skills with clear communication
Ability to collaborate with different roles to achieve common goals

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.

The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.

As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. Employees are expected to follow the Firm's current COVID-19 or other infectious disease health and safety requirements, including local requirements. Requirements include sharing information including your vaccine card in the firm's vaccine record tool, and may include mask wearing. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests as required by applicable law.

Equal Opportunity Employer/Disability/Veterans",https://www.linkedin.com/company/jpmorganchase/life/,NA,NA,
Software Engineer,ServiceNow,"Hyderabad, Telangana, India",14 hours ago,Full-time,"10,001+ employees · Software Development","Company Description

At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can’t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you.

With more than 7,400+ customers, we serve approximately 80% of the Fortune 500, and we're proud to be one of FORTUNE's 100 Best Companies to Work For® and World's Most Admired Companies® 2022.

Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow.

Unsure if you meet all the qualifications of a job description but are deeply excited about the role? We still encourage you to apply! At ServiceNow, we are committed to creating an inclusive environment where all voices are heard, valued, and respected. We welcome all candidates, including individuals from non-traditional, varied backgrounds, that might not come from a typical path connected to this role. We believe skills and experience are transferrable, and the desire to dream big makes for great candidates.

Job Description

What you get to do in this role:

Build high-quality, clean, scalable and reusable code by enforcing best practices around software engineering architecture and processes (Code Reviews, Unit testing, etc.)
Work with the product owners to understand detailed requirements and own your code from design, implementation, test automation and delivery of high-quality product to our users.
Design software that is simple to use to allow customers to extend and customize the functionality to meet their specific needs
Help design and implement new products and features while also enhancing the existing product suite

Qualifications

To be successful in this role you have:

2+ years of experience with Java or a similar OO language
Passion for JavaScript and the Web as a platform, reusability, and componentization
Experience with data structures, algorithms, object-oriented design, design patterns, and performance/scale considerations
Experience with any of the modern UI frameworks like Angular, React or Vue
Analytical and design skills
Working knowledge and ability to use tools to assist with daily tasks (IDE, debugger, build tools, source control, ServiceNow instances, profilers, system administration/Unix tools)

FD21

Additional Information

ServiceNow is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status or any other category protected by law.

At ServiceNow, we lead with flexibility and trust in our distributed world of work. Click here to learn about our work personas: flexible, remote and required-in-office.

All new employees hired in the United States are required to be fully vaccinated against COVID-19, subject to such exceptions as required by law. If hired, you will be required to submit proof of full vaccination or have an approved accommodation, by your start date. Visit our Candidate FAQ page to learn more.

If you require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at talent.acquisition@servicenow.com for assistance.

For positions requiring access to technical data subject to export control regulations, including Export Administration Regulations (EAR), ServiceNow may have to obtain export licensing approval from the U.S. Government for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by the U.S. Government.

Please Note: Fraudulent job postings/job scams are increasingly common. Click here to learn what to watch out for and how to protect yourself. All genuine ServiceNow job postings can be found through the ServiceNow Careers site.",https://www.linkedin.com/company/servicenow/life/,NA,NA,
Software Engineering,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",2 weeks ago,Full-time,"10,001+ employees · Financial Services","As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience
Advanced knowledge of application, data, and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Knowledge of industry-wide technology trends and best practices
Ability to work in large, collaborative teams to achieve organizational goals
Passionate about building an innovative culture
Proficiency in one or more modern programming languages
Understanding of software skills such as business analysis, development, maintenance, and software improvement

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",https://www.linkedin.com/company/jpmorganchase/life/,NA,NA,
Software Engineering - Python Developer/DB Developer,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",4 days ago,Full-time,"10,001+ employees · Financial Services","As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience
Advanced knowledge of application, data, and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Knowledge of industry-wide technology trends and best practices
Ability to work in large, collaborative teams to achieve organizational goals
Passionate about building an innovative culture
Proficiency in one or more modern programming languages
Understanding of software skills such as business analysis, development, maintenance, and software improvement

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",https://www.linkedin.com/company/jpmorganchase/life/,NA,NA,
Software Engineer/Wealth & Personal Banking IT,HSBC,"Hyderabad, Telangana, India",23 hours ago,Full-time,"10,001+ employees · Financial Services","Job Description

The health and safety of our employees and candidates is very important to us. Due to the current situation related to the Novel Coronavirus (2019-nCoV), we’re leveraging our digital capabilities to ensure we can continue to recruit top talent at the HSBC Group. As your application progresses, you may be asked to use one of our digital tools to help you through your recruitment journey. If so, one of our Resourcing colleagues will explain how our video-interviewing technology will be used throughout the recruitment process and will be on hand to answer any questions you might have.

Some careers shine brighter than others.

If you’re looking for a career that will help you stand out, join HSBC and fulfil your potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.

HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.

We are currently seeking an experienced professional to join our team in the role of Senior Software Engineer

In this role, you will:
Migrate and re-engineer existing services from on-premises data centres to Cloud (GCP/AWS)
Understanding the business requirements and provide the real-time solutions
Following the project development tools like JIRA, Confluence and GIT
Write python/shell scripts to automate operations and server management
Build and maintain operations tools for monitoring, notifications, trending, and analysis.
Define, create, test, and execute operations procedures.
Document current and future configuration processes and policies

Requirements

To be successful in this role, you should meet the following requirements:
Data Engineer/Developer with Cloud (GCP) (Experience - 4 to 8 Years)
Expert in Python, Data Flow, Pubsub, Big Query
Hadoop knowledge, NiFi/Kafka experience
Must have good Experience/knowledge on GCP components like GCS, BigQuery, AirFlow, Cloud SQL, PubSub/Kafka, DataFlow and Google Cloud SDK
Understanding of Terraform script, Shell script
Should have experience on any of the RDBMS
GCP Data Engineer certifications is an added advantage
You’ll achieve more when you join HSBC.

www.hsbc.com/careers

HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

IssuEd by – HSBC Software Development India",https://www.linkedin.com/company/hsbc/life/,NA,NA,
Software Engineering,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",1 week ago,Full-time,"10,001+ employees · Financial Services","As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience
Advanced knowledge of application, data, and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Knowledge of industry-wide technology trends and best practices
Ability to work in large, collaborative teams to achieve organizational goals
Passionate about building an innovative culture
Proficiency in one or more modern programming languages
Understanding of software skills such as business analysis, development, maintenance, and software improvement

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.

The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.

As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. Employees are expected to follow the Firm's current COVID-19 or other infectious disease health and safety requirements, including local requirements. Requirements include sharing information including your vaccine card in the firm's vaccine record tool, and may include mask wearing. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests as required by applicable law.

Equal Opportunity Employer/Disability/Veterans",https://www.linkedin.com/company/jpmorganchase/life/,NA,NA,
software engineering - Bigdata,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",2 weeks ago,Full-time,"10,001+ employees · Financial Services","Organization Description

Our Corporate Technology team relies on smart, driven people like you to develop applications and provide tech support for all our corporate functions across our network. Your efforts will touch lives all over the financial spectrum and across all our divisions: Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and within the Corporate Administrative Office. You'll be part of a team specifically built to meet and exceed our evolving technology needs, as well as our technology controls agenda.

Employer Description

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.

Job Description

The Dias team( data team) team develops and manages features and enhancements to services that execute/modify/build pipelines for data sourcing related activities. Our activities include perform hands-on coding of production-ready code using scala, spark , other programming languages or tools, assist modelling teams in their coding, and create tools which validate data and which streamline the implementation process.

The candidate will be part of the development team that drives target state architecture design and implementation.

Responsibilities
Architect and implement resilient, highly scalable, fault-tolerant services
Ability to develop and deploy services that can integrate with other Enterprise systems
Analyze business requirements in order to design the system architecture that suits specified functional, performance, scalability, security, governance and auditability requirements.
Manage multiple deliverables to different business groups and ability to build stronger customer relationships.
Work in a high-pressured delivery environment
Collaborate with the appropriate individuals (LOB users, Subject Matter Experts, Architects, SRE, etc.) to design and implement the appropriate solution
Working with System administrators, users, and other development team to manage enhancements and issues
Qualifications
Minimum of 8+ year's recent hand-on software development work experience in large-scale distributed technology projects in Bigdata(scala/spark) environment.
Experience with Service Oriented Architecture (SOA) and Expert in REST APIs.
5+ years of experience with big data related technologies along with AWS
Expereince dealing with backend infra using load balancing , autoscaling etc
Experience with any log analytic tools like ELK, Splunk etc
Strong communication skills, both written and oral
Excellent organizational and planning skills
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",https://www.linkedin.com/company/jpmorganchase/life/,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Full Stack Engineer,GotSoccer,United States,3 weeks ago,Full-time,11-50 employees,"We're looking for a full stack Rails software engineer with at least 3 years of experience to join our team. We develop registration and scheduling solutions for sports leagues and associations, and much more. We use a Postgres back end and are also looking for someone with DevOps experience and a knack for performance tuning SQL databases and complex web applications.

Please send your CV and references to: jobs@gotsoccer.com",https://www.linkedin.com/company/gotsoccer/life/,Aaron Wilmoth,CTO,
Go Software Developer,Motion Recruitment,"Atlanta, GA",7 hours ago,Full-time · Mid-Senior level,"501-1,000 employees · Staffing and Recruiting","Software Developer

This full-time, remote software developer position will contribute to this technology solutions company’s goal of engaging retailers with their customers. Partnering with clients such as Texas Roadhouse, Chipotle, Bloomin’ Brands, and Great Clips, this company’s platform provides real-time Point-of-Sale (POS) connectivity, offer management and loyalty, and moment to moment capture of transactional data. Founded in Atlanta in 2001, the company’s modest-sized but dedicated and growing teams continue to expand and create deeper and more meaningful connections between merchants and their customers.

Software engineers will work fully or mostly remote, though candidates based in the Atlanta area are preferred. Developers will work in Golang, and any experience in AWS and cloud POS integration are big pluses. Developers with experience in web services, multithreading, socket programming, OO design, and troubleshooting in Linux are sought after. Positives of the position include a competitive salary, ample benefits, and working on a healthy and growing team.

Required Skills & Experience
Minimum bachelor’s degree in computer science, management information systems, or related major required
5+ years software engineering experience
Experience in Go
Desired Skills & Experience
Drive to help companies and clients connect
Experience in AWS and cloud POS integration
What You Will Be Doing

Tech Breakdown
70% Golang
30% cloud integration
Daily Responsibilities
60% Go backend projects
40% Cloud integration product support and deployment
The Offer
Bonus eligible
You Will Receive The Following Benefits
Medical Insurance
Dental Benefits
Vision Benefits
Paid Time Off (PTO)
401(k)
Applicants must be currently authorized to work in the US on a full-time basis now and in the future.

Posted By: Andrew Benzinger",https://www.linkedin.com/company/motion-recruitment-partners/life/,NA,NA,
Frontend Developer,Motion Recruitment,"Pleasanton, CA",1 hour ago,Contract · Mid-Senior level,"501-1,000 employees · Staffing and Recruiting","A globally known electronics manufacturing company, developing and manufacturing audio, video, and communication technology products, is looking for a Frontend engineer to help build a commerce platform and empower its customers. This company is offering Bay Area candidates a contract opportunity with the potential for full-time conversion upon completion and defining your role in Pleasanton, California.

In this role, you will have the opportunity to collaborate with global engineering teams in Japan and Europe, to continue to showcase one of the most recognizable platforms across the world in electronic manufacturing. You will also develop, test, and document, a JavaScript-based business that is essential for the commerce web application and features you will have your hands on by collaborating with Product Owners and Managers. Apply today to learn more about this opportunity.

Contract Duration: 3 – 6 Months

Required Skills & Experience
Bachelor's degree in Computer Science or related field, or at least three years of proven experience in lieu of a degree
3+ years of web development experience
Strong problem-solving skills
Proficient in HTML, CSS, the JavaScript ecosystem and familiarity with popular frameworks like React, Angular, Ember, Jest, Babel, and TypeScript
What You Will Be Doing

Tech Breakdown
100% Frontend
100% React
Daily Responsibilities
25% Development
25% Team Collaboration
25% Testing
25% Hands-on
Posted By: Hilario Tovar",https://www.linkedin.com/company/motion-recruitment-partners/life/,NA,NA,
Senior Python/Go Engineer / Python/Go/AWS,Motion Recruitment,"San Jose, CA",1 week ago,Full-time · Mid-Senior level,"501-1,000 employees · Staffing and Recruiting","A high growth internet service company has been making strides in its niche market. This company has partnered with notable companies such as AT&T and Dish Networks to provide non-line cable gigabyte connections. They have recently raised $172 million in funding and has recently gotten their unicorn valuation. As a Senior Python/Go Engineer, you will be building out their suite of unique algorithm innovations with expert implementation to create the industry’s first truly viable 5G wireless tech. If you are interested in working on the latest technology that involves internet accessibility, this role is for you.

Required Skills & Experience
Deep understanding of Python, Django, and AWS
Experience with microservices
Knowledge of API development
Familiar with Linux
Desired Skills & Experience
Ability to script in python, make, or bash
B.S. In CS or Software Engineer related is heavily preferred
What You Will Be Doing

Tech Breakdown
Coding: 80%
Design: 20%
The Offer
Bonus OR Commission Eligible
You Will Receive The Following Benefits
Base + Bonus Compensation Package
401k Matching
Flex Hours
PTO
Education Opportunities
Comprehensive Health Care
Applicants must be currently authorized to work in the United States on a full-time basis now and in the future.

This position does not offer sponsorship.

Posted By: Sydney Diaz",https://www.linkedin.com/company/motion-recruitment-partners/life/,NA,NA,
"Software Development Engineer I (Networking Applications), AWS Networking - Configuration Services",Amazon Web Services (AWS),"Cupertino, CA",5 hours ago,"$128,000/yr - $180,000/yr (LinkedIn est.) · Full-time · Mid-Senior level","10,001+ employees · IT Services and IT Consulting","Job Summary

DESCRIPTION

What do we do here? Amazon Web Services (AWS) runs one of the largest networks in the world. We are changing the way Networks are conceived, designed, built and operated, by adopting the principles of Software Defined Networking (SDN) and Intent Based Networking (IBN). We derive our network topologies from higher level designs and intents, and a distributed software system controls the way we manage our network. We put services and algorithms in place to control and manage all layers of the Amazon network, from top of the rack switches in our datacenters (TORs) to our internet and private backbone facing routers.

Why do we do that? At Amazon, we are always customer obsessed. By creating an intent-based, scalable network, we respond quickly and safely to network changes like scaling, maintenance, failure, security and other types of events. This also lowers the cost and overhead for customers, while driving up performance, availability and reliability.

Why now? We want to expand scope of our IBN and configuration backend systems to store and vend operational intent, there by facilitating anomaly detection. We also would expand our description languages, parsers and workflow engines to go beyond the mostly static configuration elements and cover dynamic and operational elements. To achieve this we need to expand our current team focusing on IBN related areas. We are looking for talented software engineers who want to get hands on experience with fully automated hyper scale data center networks, cloud infrastructure, large-scale software deployments, algorithms, distributed systems and service oriented architectures (SOA).

How do we operate in our team? We empower our engineers to take ownership of their realm and make a difference. They start by gathering requirements, diving deep to choose technologies, designing features and spinning new services, coding and reviewing, deploying software across the globe and maintaining services. In AWS, we are nimble and agile, like being part of a startup, innovating while collaborating with a smart group of people around you. We are thrilled about how software is changing the landscape of networking. We operate on an unimaginable scale. We push the boundaries in robustness, fault-tolerance and smart adaptive algorithms that can react intelligently to real-world events. Software engineers on our team contribute to every phase of the development process and deploy scalable software systems worldwide.

What will you be doing here?
Designing and developing network management software for highly scaled networks, using SDN, IBN principles combined with traditional routing/switching solutions.
Working with management, customers and other engineering teams to develop state of the art solutions, incorporating new technologies, algorithms and innovations.
Who are we looking for? Smart, talented engineers. You do not need to have networking background up front. Join us if you like working hard, having fun and making history. We do just that.

Have more questions? Talk to us! We'll be happy to setup an info call to give you more context and details about the job.


Basic Qualifications
Programming experience with at least one software programming language.
1+ years of experience in software development
A bachelor's degree or higher in Computer Science (or equivalent experience).
Preferred Qualifications
Masters Degree or higher in Computer Science (or equivalent experience)
4+ years of professional software development experience
Experience in building complex software systems that have been successfully delivered to customers.
Experience with distributed algorithms, SOA, enterprise-wide systems and asynchronous messaging.
Working knowledge of networking fundamentals (TCP/IP, Routing, Switching)
Excellent verbal and written communication skills.
Meets/exceeds Amazon’s leadership principles requirements for this role
Meets/exceeds Amazon’s functional/technical depth and complexity for this role
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon Data Services, Inc.

Job ID: A2226907",https://www.linkedin.com/company/amazon-web-services/life/,NA,NA,
Software Engineer / Python/Django/FastAPI,Motion Recruitment,"San Jose, CA",1 week ago,Full-time · Mid-Senior level,"501-1,000 employees · Staffing and Recruiting","A growing software company has collaborated with the second largest alcohol distribution companies in the US to implement backend systems and ramp their production and are thus seeking Python Engineers to their team. This alcohol distribution company is the second largest in the US, and the partnership between the two companies has allowed both to succeed. As a Python Engineer, you will be contributing your work on large data sets and complex data relationships in addition to being a strong team player who has a passion for solving problems.

Required Skills & Experience
Proficiency in:
Python
Django
Effective and Efficient Communication Skills
Strong Team Player
A Passion to Solve Problems
Experience in Working With Large Data Sets
Locally Available
Desired Skills & Experience
Proficiency in any of the following tech:
FastAPI
Docker
PostGreSQL
Microservices
Pandas
React
What You Will Be Doing

Tech Breakdown
Coding: 80%
Design: 20%
The Offer
Eligible for Bonus
You Will Receive The Following Benefits
Fully Remote Options
Great Workplace Culture
Base + Bonus Compensation Package
401k Matching
Flex Hours
PTO
Education Opportunities
Comprehensive Health Care
Applicants must be currently authorized to work in the United States on a full-time basis now and in the future.

This position does not offer sponsorship.

Posted By: Sydney Diaz",https://www.linkedin.com/company/motion-recruitment-partners/life/,NA,NA,
System Software Development Engineer,Intel Corporation,"San Jose, CA",8 hours ago,Full-time · Entry level,"10,001+ employees · Semiconductor Manufacturing","Job Description

Designs, develops, integrates, tests, validates, and/or debugs software across multiple layers of the software stack spanning firmware, drivers, operating systems, middleware, frameworks, algorithms, and applications/UI for a specific technology, product/platform, and/or market segment, including the development of software to enable specific features, skills, solutions, reference platforms, or Intel products.

Qualifications

Minimum qualifications are required to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates.

Education Requirements

BS in Computer Engineering or Computer Science.

Minimum Qualifications

5+ years of experience in the following:


Developing system software, test scripts for Smart NIC or Storage products.
System-level validation, lab environment, PCIe boards, performance benchmarks are required.

Preferred Qualifications
Master's Degree in Computer Engineering or Computer Science is preferred.
Familiarity with NVMe, RDMA protocols and network topologies is highly preferred.

Inside this Business Group

The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.

Covid Statement

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

Benefits

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, and benefit programs. Find more information about our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Working Model

This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.

In certain circumstances the work model may change to accommodate business needs.",https://www.linkedin.com/company/intel-corporation/life/,NA,NA,
